지역,기준연도,세부영역,구조환경지수_t,구조환경지수_t1,구조환경_t1연도,구조환경지수_변화_t_t1,예산_t2연도,예산_t3연도,계획예산비중_t2_pct,계획예산비중_t3_pct,계획예산비중_변화_t2_t3_pp,예산누락주의_두연도,후행예산비중_증가,대응방향
충남,2019,1-2. 주거안정성,83.45732407622386,82.72479779294063,2020.0,-0.7325262832832209,2021,2022.0,0.0704689577457595,0.0861432882020887,0.0156743304563292,False,True,하락 후 비중 증가
충남,2020,1-2. 주거안정성,82.72479779294063,77.17658919855958,2021.0,-5.548208594381052,2022,2023.0,0.0861432882020887,0.2257512249837653,0.1396079367816766,False,True,하락 후 비중 증가
충남,2021,1-2. 주거안정성,77.17658919855958,76.87568290630382,2022.0,-0.3009062922557604,2023,2024.0,0.2257512249837653,0.0,-0.2257512249837653,False,False,하락 후 비중 비증가
충북,2016,1-2. 주거안정성,86.97873223065204,85.32684018090265,2017.0,-1.6518920497493923,2018,2019.0,0.0034933438011073,2.0855137078932504,2.082020364092143,False,True,하락 후 비중 증가
충북,2019,1-2. 주거안정성,86.68709132795546,82.27842177880973,2020.0,-4.408669549145728,2021,2022.0,3.0952018881965007,0.4349902021285936,-2.6602116860679073,False,False,하락 후 비중 비증가
충북,2020,1-2. 주거안정성,82.27842177880973,79.03203675208212,2021.0,-3.2463850267276086,2022,2023.0,0.4349902021285936,0.2404630713997734,-0.1945271307288201,False,False,하락 후 비중 비증가
충북,2021,1-2. 주거안정성,79.03203675208212,75.8475577536619,2022.0,-3.184478998420218,2023,2024.0,0.2404630713997734,0.8325069665996974,0.592043895199924,False,True,하락 후 비중 증가
제주,2017,1-3. 경제적 여건,26.59558102336024,25.83385927298013,2018.0,-0.7617217503801079,2019,2020.0,1.2014482973798588,1.0898535103620597,-0.1115947870177991,False,False,하락 후 비중 비증가
제주,2018,1-3. 경제적 여건,25.83385927298013,24.687652711795224,2019.0,-1.1462065611849075,2020,2021.0,1.0898535103620597,0.626957022855472,-0.4628964875065877,False,False,하락 후 비중 비증가
광주,2020,2-1. 돌봄 여건,67.56876358715141,65.99964859116675,2021.0,-1.5691149959846626,2022,2023.0,9.477023058750584,6.681304098780605,-2.795718959969979,True,False,하락 후 비중 비증가
광주,2021,2-1. 돌봄 여건,65.99964859116675,65.96673400953738,2022.0,-0.0329145816293703,2023,2024.0,6.681304098780605,16.73874697113645,10.057442872355846,False,True,하락 후 비중 증가
대구,2020,2-1. 돌봄 여건,38.28803558637625,35.794464969952,2021.0,-2.4935706164242504,2022,2023.0,32.05772718573134,29.422807621330705,-2.634919564400633,False,False,하락 후 비중 비증가
대전,2018,2-1. 돌봄 여건,37.86641099136974,37.86548542041528,2019.0,-0.0009255709544575,2020,2021.0,41.72122482771002,40.63109353921352,-1.0901312884964938,False,False,하락 후 비중 비증가
대전,2020,2-1. 돌봄 여건,42.32425872608473,41.617015504181715,2021.0,-0.7072432219030134,2022,2023.0,34.63782605737428,24.450154784577823,-10.18767127279646,False,False,하락 후 비중 비증가
대전,2021,2-1. 돌봄 여건,41.617015504181715,40.869648149125126,2022.0,-0.7473673550565891,2023,2024.0,24.450154784577823,32.109464014078206,7.659309229500384,False,True,하락 후 비중 증가
부산,2020,2-1. 돌봄 여건,35.4358127304756,35.371803145349084,2021.0,-0.064009585126513,2022,2023.0,28.85480486854508,30.24209676227744,1.3872918937323604,False,True,하락 후 비중 증가
서울,2021,2-1. 돌봄 여건,30.746143687045983,30.61479702646165,2022.0,-0.1313466605843345,2023,2024.0,24.258483035852596,42.1936538863702,17.935170850517604,False,True,하락 후 비중 증가
세종,2016,2-1. 돌봄 여건,22.57255227082832,22.35164950845801,2017.0,-0.2209027623703114,2018,2019.0,63.619525887171456,34.278436064687945,-29.34108982248351,False,False,하락 후 비중 비증가
세종,2018,2-1. 돌봄 여건,26.433569711686264,26.23024622155572,2019.0,-0.2033234901305434,2020,2021.0,26.72344205996284,30.19274389340385,3.469301833441012,False,True,하락 후 비중 증가
