지역,연도,세부영역,당해계획예산_백만원_provisional,사업수,예산결측_사업수,CPI_지수,CPI_기준연도,당해계획예산_실질_백만원_provisional,전년대비_실질증감률_pct_provisional,전체인구_명,인구1인당_실질예산_원,직전1년_출산율하락도,합계출산율,구조환경지수_전년도,인구1인당_실질예산_전년도,인구1인당_실질예산_전전년도
전북,2024,3-3. 아동안전 수준,784.0,4,0,100.0,2024,784.0,-7.930335249999998,1738690,450.9141940196355,0.03699999999999992,0.808,62.180691762178945,485.2689651317876,500.0366791602017
전북,2016,4-1. 일·가정 양립 여건,488.0,12,9,83.786765,2024,582.4308886970394,,1864791,312.3303837786859,,1.251,,,
전북,2017,4-1. 일·가정 양립 여건,985.0,15,0,85.339636,2024,1154.2116256507118,98.17143081693476,1854607,622.3483604077369,,1.151,16.251055446101887,312.3303837786859,
전북,2018,4-1. 일·가정 양립 여건,1267.0,16,9,86.797969,2024,1459.7115745876497,26.468278619590738,1836832,794.6897563781824,0.09999999999999987,1.044,22.74134534196454,622.3483604077369,312.3303837786859
전북,2019,4-1. 일·가정 양립 여건,1184.0,18,0,87.068452,2024,1359.8496043090329,-6.841212470814773,1818917,747.6149842510861,0.10699999999999998,0.971,21.50674527965577,794.6897563781824,622.3483604077369
전북,2020,4-1. 일·가정 양립 여건,1580.0,16,0,87.535014,2024,1804.9920001155192,32.7346784817923,1804104,1000.492211156075,0.07300000000000006,0.909,21.162689494794584,747.6149842510861,794.6897563781824
전북,2021,4-1. 일·가정 양립 여건,401.0,15,0,89.802171,2024,446.5370887302936,-75.26099347245221,1786855,249.9011328453028,0.061999999999999944,0.85,35.5858365485604,1000.492211156075,747.6149842510861
전북,2022,4-1. 일·가정 양립 여건,667.0,15,0,94.590336,2024,705.1460309856602,57.91432532305627,1769607,398.4760633212121,0.05900000000000005,0.817,37.13158046292696,249.9011328453028,1000.492211156075
전북,2023,4-1. 일·가정 양립 여건,588.0,14,0,97.706583,2024,601.8018253693306,-14.655716840932095,1754757,342.9545090114076,0.03300000000000003,0.78,50.58715721950986,398.4760633212121,249.9011328453028
전북,2024,4-1. 일·가정 양립 여건,678.0,13,0,100.0,2024,678.0,12.661672234693878,1738690,389.9487545220827,0.03699999999999992,0.808,59.393368834055735,342.9545090114076,398.4760633212121
전북,2016,4-2. 사회적 가치관,270.0,4,0,83.786765,2024,322.24659825450954,,1864791,172.80574512345325,,1.251,,,
전북,2017,4-2. 사회적 가치관,235.0,6,0,85.339636,2024,275.37028632275866,-14.546720488490028,1854607,148.4790504526073,,1.151,61.91340369444008,172.80574512345325,
전북,2018,4-2. 사회적 가치관,248.0,9,0,86.797969,2024,285.7209711900056,3.7588241656236754,1836832,155.55095468175946,0.09999999999999987,1.044,64.06476950503833,148.4790504526073,172.80574512345325
전북,2019,4-2. 사회적 가치관,331.0,25,0,87.068452,2024,380.16065796139344,33.0531169546477,1818917,209.00385117154516,0.10699999999999998,0.971,66.21613531563662,155.55095468175946,148.4790504526073
전북,2020,4-2. 사회적 가치관,395.0,37,0,87.535014,2024,451.24800002887986,18.69928951846078,1804104,250.12305278901871,0.07300000000000006,0.909,66.16251147756323,209.00385117154516,155.55095468175946
전북,2021,4-2. 사회적 가치관,561.4,33,0,89.802171,2024,625.151924222411,38.53843655426756,1786855,349.861585983424,0.061999999999999944,0.85,66.10888763948982,250.12305278901871,209.00385117154516
전북,2022,4-2. 사회적 가치관,320.0,24,0,94.590336,2024,338.3009444009164,-45.885003101972586,1769607,191.1729239322157,0.05900000000000005,0.817,62.68532939311024,349.861585983424,250.12305278901871
전북,2023,4-2. 사회적 가치관,403.0,22,0,97.706583,2024,412.45941432625887,21.920858085887616,1754757,235.0521549857096,0.03300000000000003,0.78,59.26177114673068,191.1729239322157,349.861585983424
전북,2024,4-2. 사회적 가치관,401.0,20,0,100.0,2024,401.0,-2.7783131935483873,1738690,230.63340791055336,0.03699999999999992,0.808,62.03548411836793,235.0521549857096,191.1729239322157
제주,2016,1-1. 고용여건,5439.0,9,0,83.786765,2024,6491.478695949175,,641597,10117.68866741767,,1.432,,,
제주,2017,1-1. 고용여건,4916.0,5,0,85.339636,2024,5760.512032181623,-11.260403029955112,657083,8766.795111396314,,1.305,43.39637532663992,10117.68866741767,
제주,2018,1-1. 고용여건,2790.0,4,0,86.797969,2024,3214.3609258875636,-44.20008311882269,667191,4817.752226705042,0.127,1.22,53.876566358163245,8766.795111396314,10117.68866741767
제주,2019,1-1. 고용여건,2861.0,4,0,87.068452,2024,3285.920369871742,2.226241720643718,670989,4897.130012372396,0.08499999999999996,1.145,51.332216167545056,4817.752226705042,8766.795111396314
